Total Node Running Coins: 80000000
Total Ambassador Coins: 1614168
Total Quest Coins: 1680287
Total of All Tokens: 83294455
+-------------------------------------------------------+--------------+------------+-------+---------------+--------------+------------+
| Address                                               | Node Running | Ambassador | Quest | Initial Rolls | Total Tokens | Percentage |
+-------------------------------------------------------+--------------+------------+-------+---------------+--------------+------------+
| AU1NNfMpS4fpfgwpaHWJD8H7AkJ3TpmvR2cAVbgbsbspGFFgBT3a  |        27820 |      50000 |   200 |      True     |        78020 |    0.0937% |
| AU13Zf44GTezMTsdS9JszQ9TbBBQhNefi8GBcgLpYMTvHGqnmKqt  |        24054 |      50000 |     0 |     False     |        74054 |    0.0889% |
| AU1auDAn1SidMjcqBWpT2agHtdEiuYM5yyKzdba4jkAk2yjQtQWD  |        22735 |      50000 |     0 |      True     |        72735 |    0.0873% |
| AU1dd5cFMKbNzahq5wCi9aTfFpUNKk5K59Czq2r1fUhKHP9gAkiz  |        21235 |      50000 |     0 |     False     |        71235 |    0.0855% |
| AU1VWdHqyTeuWZ1aGrKBzFueJPtYiJ19NiegsdS3PJ9dabNg5gLz  |        16794 |      50000 |   163 |      True     |        66957 |    0.0804% |
| AU1bhE71bm3YNsDE7ZDmdkLeMrxZbqzkDVCqurJoydr83dTqgNfC  |        15181 |      50000 |     0 |     False     |        65181 |    0.0783% |
| AU12J3F1jZNyu8mEnPM73a6JNuUVgGwooaFe1AADENM1A1A63D45r |        21378 |      41667 |     0 |      True     |        63045 |    0.0757% |
| AU1AWfST2KpivhZQFjVkuvDCPVVCAtX21FbnVpiL1NggtHeEY7TH  |        20058 |      41667 |     0 |      True     |        61725 |    0.0741% |
| AU12gsbePD9hKDFUrSWEBfoN25qJ6wc61ZonQUXXbVZwQEBTkuZQx |         9498 |      50000 |     0 |      True     |        59498 |    0.0714% |
| AU1TqHACaamPw6xqZK1VuyXExmhwa7vrDjcMKqZrRQyoYhLYt79o  |        21684 |      37500 |   156 |      True     |        59340 |    0.0712% |
| AU1yJ8jMxw4KJR32R2AeR9iRCkyJ6RiHtq2iGrJTRDjwnFLu8GZ6  |        21407 |      37500 |     0 |      True     |        58907 |    0.0707% |
| AU1ZWAVkopnPev9PgUouj7n3AtdXM8H1QX619XFD5oSkuEZdbSZA  |        20956 |      37500 |   163 |      True     |        58619 |    0.0704% |
| AU1XU7Tk61kiFrPdWbzFhdQuUQ3JvnUcUG6VxZC7AXGJkD3H7szv  |        20524 |      37500 |     0 |     False     |        58024 |    0.0697% |
| AU1X685mXWcj2tgn11Eak1wpWrBs9poEjwkkkGXV9rTGBkVRVqKN  |        15638 |      37500 |   200 |      True     |        53338 |    0.0640% |
| AU1Z6YAM1suGXYAyYdHUXRB4RscWDXyFrqSHf6WPkEoyCrjdRM76  |         6016 |      45833 |   108 |     False     |        51957 |    0.0624% |
| AU1CL9VbApBsHZkn7sQqTErDg3J338AxuPTeb6sB5Fkxks8bszfK  |        18543 |      33333 |     0 |     False     |        51876 |    0.0623% |
| AU1KTvsc6cy3ETvEsuZ832ACRRxzX3DWVq5GUFVF8jUMC6WfxJAr  |        14029 |      37500 |     0 |      True     |        51529 |    0.0619% |
| AU1yaonXDE7Mj7KfC4oXic1D5pxyC86n4hLd4iRiYqqRSeQMdAsW  |        13650 |      37500 |     0 |     False     |        51150 |    0.0614% |
| AU1R9yny5AdQ2jauwL4ymDzDAGikCzxvCiqc9EMkgSQT24rJhaxt  |            0 |      50000 |     0 |     False     |        50000 |    0.0600% |
| AU12urj5Pt8vuYYq9um9xwRDqiBf4tgV7pPh2L6AyMMgPtvfPButd |            0 |      50000 |     0 |     False     |        50000 |    0.0600% |
| AU1Dpc9hdt4EkbMTq2FSKwfYURNqNY8wus4BZQ4eyShPEePLZKPD  |        19299 |      29167 |     0 |      True     |        48466 |    0.0582% |
| AU12HPNpWMajDdXEnnnkfGjUxcZU4YfkoVHjo1TAGyDePfTxCDX3z |        18967 |      29167 |   161 |      True     |        48295 |    0.0580% |
| AU1aGcUiD7Ne7dRFSdtNYvTs4Aehh4UEhn2FMdKAQuyg8qyZe1pE  |         6541 |      41667 |     0 |     False     |        48208 |    0.0579% |
| AU12tEnhvvRQqGx54vn9sZRGYjBc9N88oBqwmWV1pUEXBgFJneDJ1 |         6361 |      41667 |     0 |     False     |        48028 |    0.0577% |
| AU1X7a8do2NpsquPgnedByMf2F8SZkVjwFZTj5rMBnoq7FngwCxr  |        16570 |      29167 |   163 |      True     |        45900 |    0.0551% |
| AU1BFhpqiqV4urZPUsLxqDrRy3bY9JkAY5MSWHznNcw44yAx1jqR  |         8213 |      37500 |     0 |     False     |        45713 |    0.0549% |
| AU12zeC4yDak8b52NVZv1K2Wx3NmZ8uWZDvZzrZZpzRyU7BsitHY  |         7248 |      37500 |     0 |     False     |        44748 |    0.0537% |
| AU12JCyTrhcUJu71GWXMrwHK1TNKQcxpzTykjqLD1StxbgKqGPAGe |        10254 |      33333 |     0 |      True     |        43587 |    0.0523% |
| AU12vVPRv4pyMNLDy1NgDojxxzrrLvE9xpSR1sjcZPirASrh59Vcw |        18478 |      25000 |     0 |     False     |        43478 |    0.0522% |
| AU1xThByW6Cjm2CePjXF9XGMZYqTvns6DYv8bQbqLA5BvPYxa1fK  |         4215 |      37500 |     0 |     False     |        41715 |    0.0501% |
| AU127e6sz3amqE9t65htW2nDj7wwyJA5FkjqkBUH8WW8wUAMmkr2Z |            0 |      40000 |     0 |     False     |        40000 |    0.0480% |
| AU12ELU3QWL3n7dx9mrSnBbKjQdqpeV5wW3atgihYfv3auqdjCoLC |         4823 |      33333 |     0 |     False     |        38156 |    0.0458% |
| AU12SkMMPzVDZpasis7WEUdXEgVKPkVUmSw9aQvjSBouer7hWK9GX |        12452 |      25000 |   176 |     False     |        37628 |    0.0452% |
| AU12BQt9MpTcj4nyBDfx8xBjutryrBs3wGvWukcVEK5YDhoUfYj1u |        11456 |      25000 |     0 |     False     |        36456 |    0.0438% |
| AU125bxpFyaTuJacQU7ahGVmhbpYNyqppJ77sYBMsoHTesPbJco7A |         6930 |      29167 |    73 |     False     |        36170 |    0.0434% |
| AU1TAMtkEVs1KH77dWnVHbE9LDEeFwH3NfpWQjH3FfQihqCFFovL  |        13791 |      20833 |     0 |      True     |        34624 |    0.0416% |
| AU12gAqnjkrkhyRxxTV5ApkDGXD5CJzgHK7QNyBrX39nvLpTB5Enm |        12169 |      20833 |     0 |      True     |        33002 |    0.0396% |
| AU1SdbpsAtNGGSZzhwAFnzU7HpX4s8jUZvHCdKg8sEvFqvaqomCk  |            0 |      29167 |   114 |     False     |        29281 |    0.0352% |
| AU12gG2x1PLJ2JkAhbYiFhHtEHbjvcSTTSCZFeecfuUezLgMrXgDU |            0 |      29167 |     0 |     False     |        29167 |    0.0350% |
| AU12qk4SZTgfQHvE2PWhEY6UdqpSJMYPhQDMZTqskR4dnr7NybKzh |         8264 |      20000 |   200 |     False     |        28464 |    0.0342% |
| AU12Lb7GafJueFnoCc4GRSXreCHWtYynLkzSS5iWTCsMVi6zue4rA |        28150 |          0 |   137 |      True     |        28288 |    0.0340% |
| AU12kg1cBcYVQFKyJ2HwHa4Wz9d8Z98BvaqynzmpRsE1xiqyHcAhd |        27865 |          0 |     0 |      True     |        27865 |    0.0335% |
| AU1ouP66v1VKaZjX4TDp9kHMbktEesNSLyEhpSbPSSHb9uTLMtXa  |        27400 |          0 |     0 |      True     |        27400 |    0.0329% |
| AU1xirnvScE1i7D7mwpqKm36YBCB3x7i4UVxLR9gdTyvHjYd6qQA  |        27339 |          0 |     0 |     False     |        27339 |    0.0328% |
| AU1B2CNhMQqeWMNcQj7seQbsdfUTw1M5cUoUZ4e6i9KhPnMhP1wK  |        26855 |          0 |     0 |      True     |        26855 |    0.0322% |
| AU1BuNG4JHpZgLcPQuAqk2BmKzTgUjHbfBAcfwzPGFvJWeZja5CK  |        26479 |          0 |     0 |      True     |        26479 |    0.0318% |
| AU1274Mv3TLaNN9PNAAHg1XM6dSyEgAQfj6rT1WovRnk4pVsU5PsQ |        26291 |          0 |    64 |      True     |        26355 |    0.0316% |
| AU1u7wXL3TSzx3kveymmxNmuoEGd8HTnTKgpnBT4TXpdJL2f6R1g  |        26204 |          0 |     0 |      True     |        26204 |    0.0315% |
| AU1aj9ofGf6VrFmNQomZQNxDNNpikH127FVHY7b8E3q7sJGsHMEA  |        26172 |          0 |     0 |      True     |        26172 |    0.0314% |
| AU1GcoHnV7kqKdEiv1mHhR1PyjE2ANfbQRG8ijRYdaNYnGhi3MhE  |        26160 |          0 |     0 |     False     |        26160 |    0.0314% |
| AU12bbmvBzC74S1wi8PSb5qgfr9yB8d9QhXqyBnXZLaRGEbse4nx7 |        26028 |          0 |     0 |      True     |        26028 |    0.0312% |
| AU12BLK3EoNpncK9mXKiK4k9MJc3F6RohqfUBGu6qD3gTwFcbFnWg |        26025 |          0 |     0 |      True     |        26025 |    0.0312% |
| AU12UDpSaKSNdVxTce66USUSbTko7UyfTLY9xtYfnu44QXHA1GCri |        25679 |          0 |   188 |      True     |        25867 |    0.0311% |
| AU12NysMBrWUnfsouPdLAwhPsUP1egLQ9XPXXdn7XYVMK2SdGZES3 |        25169 |          0 |   200 |      True     |        25369 |    0.0305% |
| AU12fBD7SDRUDVAGfqbojQwPVCi6n824QJx9znxSakC2fXWzbgWpf |        25164 |          0 |   159 |     False     |        25323 |    0.0304% |
| AU12Q8eCJPZ4CpmFjxWdvrZSFBAbTcjJwFJHiNTmRdjJe193rLf77 |        25049 |          0 |   185 |     False     |        25234 |    0.0303% |
| AU1aAcnmhwTemMeLaY1ukNwyiKwn6oU4vD5AAvgK8vNqRVB1Je4y  |        25227 |          0 |     0 |      True     |        25227 |    0.0303% |
| AU1sJgYN1Fk93Muug7TwvPvxZrV3wfpYj3F9FWDaVyzFmUiXozBW  |        25105 |          0 |     0 |      True     |        25105 |    0.0301% |
| AU17a4gKXzAQiuorHKDtD22AX1xNUKnRtimsXtVbnZwaqaGqFmuk  |            0 |      25000 |    94 |     False     |        25094 |    0.0301% |
| AU1wF91cdQ9y1NkUmn3cqnhoq1WLjHz1uKCYf8uQYrUXncqtGA26  |        25090 |          0 |     0 |     False     |        25090 |    0.0301% |
| AU1JSRPpDMyA48iFsPEt94e8FnFSpqsZ4vUZzuka2HHhJt3Zd3kR  |            0 |      25000 |    48 |     False     |        25048 |    0.0301% |
| AU1usUd3ZGRUGif6NmxMe1UfTGVuH3yHTHk9MeMbfL1Ejj9jysZV  |            0 |      25000 |     0 |     False     |        25000 |    0.0300% |
| AU1SY94CfuLGg3ds2bLALu7FViagMhg5Poq1Nkvi9jjfZpAnPUev  |            0 |      25000 |     0 |     False     |        25000 |    0.0300% |
| AU12C5wQMvLMD8kWznWawrUJcyudWig5odPcDxgNXU73H4uxhbvv2 |            0 |      25000 |     0 |     False     |        25000 |    0.0300% |
| AU12DLmAmDi5Vdhm8RGcD76gP5ymXBy4L6uCNBPKYjX9pTDSHcibP |        24995 |          0 |     0 |      True     |        24995 |    0.0300% |
| AU12Udzjz2gW7FJfdjSn6r4YmweFmFyNy6vTK3dvX7zi8GRQsy9Cb |        24950 |          0 |     0 |     False     |        24950 |    0.0300% |
| AU1CzRy5rpmKkfG6UK7PkPeh7nTPMqo4yM4BrxJpkAHkV1Uk6Voj  |        24901 |          0 |     0 |     False     |        24901 |    0.0299% |
